page,row,part_desc,part_num,qty_img,qty_ocr,qty_values
1,2,"CAM, SHAFT 1",10C-F5351-00,rows_out/page1_row1_firm.png,200|0|200|0|0|200|200|200|0|400|0|0|200|0|200|0,"['200', '0', '200', '0', '0', '200', '200', '200', '0', '400', '0', '0', '200', '0', '200', '0']"
1,3,"CAM, SHAFT 1",31D-F5351-00,rows_out/page1_row2_firm.png,0|200|0|0|0|200|0|200|0|200|0|0|0|0|0|0,"['0', '200', '0', '0', '0', '200', '0', '200', '0', '200', '0', '0', '0', '0', '0', '0']"
1,4,"LEVER, CAMSHAFT 1",31D-F5355-00,rows_out/page1_row3_firm.png,0|0|200|0|0|0|200|0|200|200|0|0|0|0|0|0,"['0', '0', '200', '0', '0', '0', '200', '0', '200', '200', '0', '0', '0', '0', '0', '0']"
1,5,PEDAL SHIFT,55D-E8111-10,rows_out/page1_row4_firm.png,400|500|400|0|0|500|400|500|100|900|0|0|500|500|400|0,"['400', '500', '400', '0', '0', '500', '400', '500', '100', '900', '0', '0', '500', '500', '400', '0']"
1,6,FOOTREST RR 1,5BU-F7431-00,rows_out/page1_row5_firm.png,400|500|400|0|0|500|400|500|100|900|0|0|500|500|400|0,"['400', '500', '400', '0', '0', '500', '400', '500', '100', '900', '0', '0', '500', '500', '400', '0']"
1,7,FOOTREST RR 2,5BU-F7441-00,rows_out/page1_row6_firm.png,400|500|400|0|0|500|400|500|100|900|0|0|500|500|400|0,"['400', '500', '400', '0', '0', '500', '400', '500', '100', '900', '0', '0', '500', '500', '400', '0']"
1,8,"PEDAL,SHIFT",B17-E8111-10,rows_out/page1_row7_firm.png,400|200|400|0|0|300|400|200|100|600|0|0|400|200|400|0,"['400', '200', '400', '0', '0', '300', '400', '200', '100', '600', '0', '0', '400', '200', '400', '0']"
1,9,"END,1",B17-F2174-00,rows_out/page1_row8_firm.png,800|400|800|0|0|600|800|400|200|1200|0|0|800|400|800|0,"['800', '400', '800', '0', '0', '600', '800', '400', '200', '1200', '0', '0', '800', '400', '800', '0']"
1,10,STAY,B17-F331A-10,rows_out/page1_row9_firm.png,400|200|400|0|0|300|400|200|100|600|0|0|400|200|400|0,"['400', '200', '400', '0', '0', '300', '400', '200', '100', '600', '0', '0', '400', '200', '400', '0']"
1,11,"PULLER, CHAIN 1",B17-F5388-01,rows_out/page1_row10_firm.png,800|400|800|0|0|600|800|400|200|1200|0|0|800|400|800|0,"['800', '400', '800', '0', '0', '600', '800', '400', '200', '1200', '0', '0', '800', '400', '800', '0']"
1,12,HANDLE COMP.,B17-F6110-10,rows_out/page1_row11_firm.png,400|200|400|0|0|300|400|200|100|600|0|0|400|200|400|0,"['400', '200', '400', '0', '0', '300', '400', '200', '100', '600', '0', '0', '400', '200', '400', '0']"
1,13,"PEDAL,BRAKE",B17-F7211-10,rows_out/page1_row12_firm.png,400|200|400|0|0|300|400|200|100|600|0|0|400|200|400|0,"['400', '200', '400', '0', '0', '300', '400', '200', '100', '600', '0', '0', '400', '200', '400', '0']"
1,14,"PEDAL,SHIFT",BAX-E8111-00,rows_out/page1_row13_firm.png,100|100|100|0|0|100|100|100|100|200|0|0|100|200|100|0,"['100', '100', '100', '0', '0', '100', '100', '100', '100', '200', '0', '0', '100', '200', '100', '0']"
2,2,GUIDE,BAX-F2167-00,rows_out/page2_row1_firm.png,500|0|500|0|0|400|500|0|0|800|0|0|0|0|200|0,"['500', '0', '500', '0', '0', '400', '500', '0', '0', '800', '0', '0', '0', '0', '200', '0']"
2,3,"GUIDE,WIRE",BBY-F331E-00,rows_out/page2_row2_firm.png,0|100|100|0|0|100|100|100|100|200|0|0|0|0|0|0,"['0', '100', '100', '0', '0', '100', '100', '100', '100', '200', '0', '0', '0', '0', '0', '0']"
2,4,"HOLDER,BRAKE HOSE 1",BDK-F5875-00,rows_out/page2_row3_firm.png,400|0|400|0|0|500|400|0|0|900|0|0|500|500|400|0,"['400', '0', '400', '0', '0', '500', '400', '0', '0', '900', '0', '0', '500', '500', '400', '0']"
2,5,HANDLE COMP.,BDK-F6110-00,rows_out/page2_row4_firm.png,400|500|400|0|0|500|400|500|100|900|0|0|500|500|400|0,"['400', '500', '400', '0', '0', '500', '400', '500', '100', '900', '0', '0', '500', '500', '400', '0']"
2,6,"PEDAL,BRAKE",BDK-F7211-00,rows_out/page2_row5_firm.png,400|500|400|0|0|500|400|500|100|900|0|0|500|500|400|0,"['400', '500', '400', '0', '0', '500', '400', '500', '100', '900', '0', '0', '500', '500', '400', '0']"
